
=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 15
  Batch size : 2
  LR         : 0.0002

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 3737
  Val   batches : 801

  Initializing IIDM model ...
  Trainable params : 78.56M

  Starting training from epoch 1 ...

  Ep 001 | step 0000/3737 | loss=2.7348 | diff=1.1223 | kd=1.9744 | recon=0.8062 | t=1s
  Ep 001 | step 0050/3737 | loss=1.6566 | diff=1.0049 | kd=1.9968 | recon=0.3258 | t=10s
  Ep 001 | step 0100/3737 | loss=1.3629 | diff=0.9998 | kd=2.0019 | recon=0.1815 | t=19s
  Ep 001 | step 0150/3737 | loss=1.4636 | diff=0.9957 | kd=1.9759 | recon=0.2340 | t=28s
  Ep 001 | step 0200/3737 | loss=1.4551 | diff=1.0047 | kd=2.0018 | recon=0.2252 | t=37s
  Ep 001 | step 0250/3737 | loss=1.5122 | diff=1.0033 | kd=2.0175 | recon=0.2545 | t=46s
  Ep 001 | step 0300/3737 | loss=1.5621 | diff=0.9898 | kd=2.0020 | recon=0.2861 | t=56s
  Ep 001 | step 0350/3737 | loss=1.5604 | diff=0.9815 | kd=1.9916 | recon=0.2894 | t=65s
  Ep 001 | step 0400/3737 | loss=1.3381 | diff=0.9822 | kd=1.9900 | recon=0.1779 | t=74s
  Ep 001 | step 0450/3737 | loss=1.2986 | diff=0.9678 | kd=1.9918 | recon=0.1654 | t=83s
  Ep 001 | step 0500/3737 | loss=1.3431 | diff=0.9651 | kd=1.9939 | recon=0.1890 | t=92s
  Ep 001 | step 0550/3737 | loss=1.5396 | diff=0.9529 | kd=2.0139 | recon=0.2933 | t=101s
  Ep 001 | step 0600/3737 | loss=1.3182 | diff=0.9556 | kd=1.9949 | recon=0.1813 | t=111s
  Ep 001 | step 0650/3737 | loss=1.2456 | diff=0.9347 | kd=2.0137 | recon=0.1555 | t=120s
