nohup: ignoring input
Pretraining 16-layer eigenbasis on 7812 images
Epoch   1/200 | Recon Loss: 0.250757
Epoch   2/200 | Recon Loss: 0.208905
Epoch   3/200 | Recon Loss: 0.208353
Epoch   4/200 | Recon Loss: 0.208192
Epoch   5/200 | Recon Loss: 0.208110
Epoch   6/200 | Recon Loss: 0.208141
Epoch   7/200 | Recon Loss: 0.208133
Epoch   8/200 | Recon Loss: 0.208177
Epoch   9/200 | Recon Loss: 0.208052
Epoch  10/200 | Recon Loss: 0.207989
Epoch  11/200 | Recon Loss: 0.208105
Epoch  12/200 | Recon Loss: 0.208049
Epoch  13/200 | Recon Loss: 0.208005
Epoch  14/200 | Recon Loss: 0.208030
Epoch  15/200 | Recon Loss: 0.208013
Epoch  16/200 | Recon Loss: 0.208039
Epoch  17/200 | Recon Loss: 0.208036
Epoch  18/200 | Recon Loss: 0.208044
Epoch  19/200 | Recon Loss: 0.207999
Epoch  20/200 | Recon Loss: 0.208083
Epoch  21/200 | Recon Loss: 0.207995
Epoch  22/200 | Recon Loss: 0.207999
Epoch  23/200 | Recon Loss: 0.208007
Epoch  24/200 | Recon Loss: 0.208075
Epoch  25/200 | Recon Loss: 0.208036
Epoch  26/200 | Recon Loss: 0.208013
Epoch  27/200 | Recon Loss: 0.208019
Epoch  28/200 | Recon Loss: 0.208011
Epoch  29/200 | Recon Loss: 0.207990
Epoch  30/200 | Recon Loss: 0.208055
Epoch  31/200 | Recon Loss: 0.208048
Epoch  32/200 | Recon Loss: 0.207935
Epoch  33/200 | Recon Loss: 0.207998
Epoch  34/200 | Recon Loss: 0.208049
Epoch  35/200 | Recon Loss: 0.208100
Epoch  36/200 | Recon Loss: 0.208022
Epoch  37/200 | Recon Loss: 0.207993
Epoch  38/200 | Recon Loss: 0.207993
Epoch  39/200 | Recon Loss: 0.207975
Epoch  40/200 | Recon Loss: 0.208027
Epoch  41/200 | Recon Loss: 0.208039
Epoch  42/200 | Recon Loss: 0.208066
Epoch  43/200 | Recon Loss: 0.208020
Epoch  44/200 | Recon Loss: 0.208067
Epoch  45/200 | Recon Loss: 0.208060
Epoch  46/200 | Recon Loss: 0.208003
Epoch  47/200 | Recon Loss: 0.207976
Epoch  48/200 | Recon Loss: 0.208000
Epoch  49/200 | Recon Loss: 0.207972
Epoch  50/200 | Recon Loss: 0.207974
