Pretraining eigenbasis on 7812 images
Epoch   1/200 | Recon Loss: 0.878862
Epoch   2/200 | Recon Loss: 0.724702
Epoch   3/200 | Recon Loss: 0.722410
Epoch   4/200 | Recon Loss: 0.722072
Epoch   5/200 | Recon Loss: 0.721918
Epoch   6/200 | Recon Loss: 0.721600
Epoch   7/200 | Recon Loss: 0.721889
Epoch   8/200 | Recon Loss: 0.721786
Epoch   9/200 | Recon Loss: 0.721750
Epoch  10/200 | Recon Loss: 0.721702
Epoch  11/200 | Recon Loss: 0.721696
Epoch  12/200 | Recon Loss: 0.721761
Epoch  13/200 | Recon Loss: 0.721642
Epoch  14/200 | Recon Loss: 0.721439
Epoch  15/200 | Recon Loss: 0.721705
Epoch  16/200 | Recon Loss: 0.721489
Epoch  17/200 | Recon Loss: 0.721637
Epoch  18/200 | Recon Loss: 0.721506
Epoch  19/200 | Recon Loss: 0.721601
Epoch  20/200 | Recon Loss: 0.721574
Epoch  21/200 | Recon Loss: 0.721582
Epoch  22/200 | Recon Loss: 0.721457
Epoch  23/200 | Recon Loss: 0.721433
Epoch  24/200 | Recon Loss: 0.721649
Epoch  25/200 | Recon Loss: 0.721552
Epoch  26/200 | Recon Loss: 0.721625
Epoch  27/200 | Recon Loss: 0.721459
Epoch  28/200 | Recon Loss: 0.721435
Epoch  29/200 | Recon Loss: 0.721417
Epoch  30/200 | Recon Loss: 0.721558
Epoch  31/200 | Recon Loss: 0.721531
Epoch  32/200 | Recon Loss: 0.721479
Epoch  33/200 | Recon Loss: 0.721483
Epoch  34/200 | Recon Loss: 0.721409
Epoch  35/200 | Recon Loss: 0.721659
Epoch  36/200 | Recon Loss: 0.721440
Epoch  37/200 | Recon Loss: 0.721797
Epoch  38/200 | Recon Loss: 0.721455
Epoch  39/200 | Recon Loss: 0.721548
Epoch  40/200 | Recon Loss: 0.721516
Epoch  41/200 | Recon Loss: 0.721770
Epoch  42/200 | Recon Loss: 0.721362
Epoch  43/200 | Recon Loss: 0.721450
