nohup: ignoring input
/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:166: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler  = GradScaler(enabled=use_amp)

=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 200
  Batch size : 4
  LR         : 0.0001

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 1868
  Val   batches : 401

  Initializing IIDM model ...
  Trainable params : 77.42M

  Starting training from epoch 1 ...

/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:202: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp):
  Ep 001 | step 0000/1868 | loss=2.2886 | diff=1.1252 | kd=1.6322 | recon=1.0002 | t=1s
  Ep 001 | step 0050/1868 | loss=2.0329 | diff=1.0043 | kd=1.1274 | recon=0.9159 | t=5s
  Ep 001 | step 0100/1868 | loss=1.9998 | diff=1.0014 | kd=0.9972 | recon=0.8986 | t=9s
  Ep 001 | step 0150/1868 | loss=1.9765 | diff=0.9984 | kd=0.9478 | recon=0.8833 | t=13s
  Ep 001 | step 0200/1868 | loss=2.0053 | diff=1.0010 | kd=1.2843 | recon=0.8758 | t=17s
  Ep 001 | step 0250/1868 | loss=2.0159 | diff=1.0008 | kd=1.2430 | recon=0.8908 | t=21s
  Ep 001 | step 0300/1868 | loss=1.9725 | diff=0.9979 | kd=1.5403 | recon=0.8206 | t=25s
  Ep 001 | step 0350/1868 | loss=1.9498 | diff=0.9975 | kd=1.3583 | recon=0.8165 | t=29s
  Ep 001 | step 0400/1868 | loss=1.7114 | diff=0.9974 | kd=0.8125 | recon=0.6327 | t=33s
  Ep 001 | step 0450/1868 | loss=1.7156 | diff=0.9922 | kd=0.6942 | recon=0.6540 | t=37s
  Ep 001 | step 0500/1868 | loss=1.9075 | diff=0.9823 | kd=1.4040 | recon=0.7849 | t=41s
  Ep 001 | step 0550/1868 | loss=1.7609 | diff=0.9751 | kd=1.1381 | recon=0.6719 | t=44s
  Ep 001 | step 0600/1868 | loss=1.6021 | diff=0.9564 | kd=0.8459 | recon=0.5610 | t=48s
  Ep 001 | step 0650/1868 | loss=1.7142 | diff=0.9635 | kd=1.2055 | recon=0.6302 | t=52s
  Ep 001 | step 0700/1868 | loss=1.6336 | diff=0.9348 | kd=0.7420 | recon=0.6246 | t=56s
  Ep 001 | step 0750/1868 | loss=1.6231 | diff=0.9460 | kd=0.9224 | recon=0.5849 | t=60s
  Ep 001 | step 0800/1868 | loss=1.5113 | diff=0.9218 | kd=0.9442 | recon=0.4951 | t=64s
  Ep 001 | step 0850/1868 | loss=1.5863 | diff=0.9142 | kd=0.9616 | recon=0.5760 | t=68s
  Ep 001 | step 0900/1868 | loss=1.4858 | diff=0.9006 | kd=0.7475 | recon=0.5105 | t=72s
  Ep 001 | step 0950/1868 | loss=1.4522 | diff=0.8937 | kd=0.9981 | recon=0.4587 | t=75s
  Ep 001 | step 1000/1868 | loss=1.5331 | diff=0.9014 | kd=1.2375 | recon=0.5080 | t=79s
  Ep 001 | step 1050/1868 | loss=1.4201 | diff=0.8849 | kd=0.8027 | recon=0.4549 | t=83s
  Ep 001 | step 1100/1868 | loss=1.4433 | diff=0.9035 | kd=0.7748 | recon=0.4623 | t=87s
  Ep 001 | step 1150/1868 | loss=1.4603 | diff=0.8691 | kd=0.6064 | recon=0.5306 | t=91s
  Ep 001 | step 1200/1868 | loss=1.3389 | diff=0.8473 | kd=0.6155 | recon=0.4300 | t=95s
  Ep 001 | step 1250/1868 | loss=1.3550 | diff=0.8420 | kd=0.6753 | recon=0.4456 | t=99s
  Ep 001 | step 1300/1868 | loss=1.3387 | diff=0.8437 | kd=0.5771 | recon=0.4372 | t=103s
  Ep 001 | step 1350/1868 | loss=1.2985 | diff=0.8362 | kd=0.6306 | recon=0.3993 | t=106s
  Ep 001 | step 1400/1868 | loss=1.4606 | diff=0.8389 | kd=0.8835 | recon=0.5333 | t=110s
  Ep 001 | step 1450/1868 | loss=1.3067 | diff=0.8177 | kd=0.6454 | recon=0.4245 | t=114s
  Ep 001 | step 1500/1868 | loss=1.4879 | diff=0.8165 | kd=1.6197 | recon=0.5095 | t=118s
  Ep 001 | step 1550/1868 | loss=1.2620 | diff=0.8172 | kd=0.7217 | recon=0.3726 | t=122s
